0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057 0.0032154057
0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392 0.0066620392
0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288 0.0103565288
0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985 0.0143166985
0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538 0.0185616538
0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746 0.0231118746
0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132 0.0279893132
0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006 0.0332175006
0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600 0.0388216600
